No	区分	キーワード	SEO難易度	月間検索数	判定	検索意図	テーマ	記事の方向性	ページ種類	トピック	ページグループ	想定ページタイトル	観点	トピカル貢献	ページ役割
1	＋	内部収益率	40	880	記事	Know（内部収益率の概要を知りたい）	税金	解説	解説記事	基礎解説	内部収益率税率	内部収益率の税率一覧と計算方法	権威構築	必須	計算ツール
2	＋	内部収益率とは	28	390	記事	Know（内部収益率の意味を理解したい）	基礎知識	解説	解説記事	基礎解説	内部収益率基礎解説	内部収益率とは？仕組み・意味をわかりやすく解説	権威構築	必須	ピラーページ
3	＋	内部収益率法	N/A	110	記事	Know（内部収益率法を理解したい）	税金	解説	解説記事	IRR法	内部収益率税率	内部収益率の税率一覧と計算方法	権威構築	必須	計算ツール
4	＋	内部収益率法とは	N/A	50	記事	Know（内部収益率の意味を理解したい）	基礎知識	解説	解説記事	基礎解説	内部収益率基礎解説	内部収益率とは？仕組み・意味をわかりやすく解説	権威構築	必須	ピラーページ
5	＋	内部収益率 わかりやすく	N/A	140	記事	Know（内部収益率の意味を理解したい）	基礎知識	解説	解説記事	基礎解説	内部収益率基礎解説	内部収益率とは？仕組み・意味をわかりやすく解説	権威構築	必須	ピラーページ
6	＋	内部収益率 計算方法	N/A	210	計算ページ	Do（内部収益率を計算したい）	計算方法	実務ガイド	計算ツール		内部収益率計算	内部収益率の計算方法・シミュレーション	ツール集客	必須	計算ツール
7	＋	内部収益率 目安	N/A	30	記事	Know（内部収益率の目安を知りたい）	税金	データ一覧	ガイド記事	目安	内部収益率税率	内部収益率の税率一覧と計算方法	権威構築	必須	計算ツール
8	＋	内部収益率 irr	51	140	記事	Know（IRRについて知りたい）	税金	解説	解説記事	基礎解説	内部収益率税率	内部収益率の税率一覧と計算方法	権威構築	必須	計算ツール
9	＋	内部収益率 求め方	N/A	30	計算ページ	Do（内部収益率を計算したい）	税金	実務ガイド	計算ツール		内部収益率税率	内部収益率の税率一覧と計算方法	ツール集客	必須	計算ツール
10	＋	内部収益率(irr)	29	0	削除			解説		検索なし			対象外	不要
11	＋	内部収益率 とは	28	390	記事	Know（内部収益率の意味を理解したい）	基礎知識	解説	解説記事	基礎解説	内部収益率基礎解説	内部収益率とは？仕組み・意味をわかりやすく解説	権威構築	必須	ピラーページ
12	＋	内部収益率 エクセル	N/A	20	計算ページ	Do（内部収益率を計算したい）	税金	実務ガイド	計算ツール		内部収益率税率	内部収益率の税率一覧と計算方法	ツール集客	必須	計算ツール
13	＋	内部収益率 計算式	N/A	10	計算ページ	Do（内部収益率を計算したい）	計算方法	実務ガイド	計算ツール		内部収益率計算	内部収益率の計算方法・シミュレーション	ツール集客	必須	計算ツール
14	＋	内部収益率 式	N/A	10	記事	Know（内部収益率の概要を知りたい）	税金	解説	解説記事	基礎解説	内部収益率税率	内部収益率の税率一覧と計算方法	権威構築	必須	計算ツール
15	＋	内部収益率 資本コスト	N/A	10	記事	Know（内部収益率の概要を知りたい）	税金	解説	解説記事	基礎解説	内部収益率税率	内部収益率の税率一覧と計算方法	権威構築	必須	計算ツール
16	＋＋	内部収益率とは わかりやすく	N/A	0	削除			解説		検索なし			対象外	不要
17	＋＋	irr 内部収益率とは	N/A	0	削除			解説		検索なし			対象外	不要
18	＋＋	内部収益率法(irr法)	N/A	N/A	削除			解説		検索なし			対象外	不要
19	＋＋	内部収益率法 正味現在価値法 違い	N/A	20	記事	Know（内部収益率のメリット・リスクを知りたい）	税金	解説	解説記事	比較・検討	内部収益率税率	内部収益率の税率一覧と計算方法	権威構築	必須	計算ツール
20	＋＋	内部収益率法 計算	N/A	10	計算ページ	Do（内部収益率を計算したい）	計算方法	実務ガイド	計算ツール		内部収益率計算	内部収益率の計算方法・シミュレーション	ツール集客	必須	計算ツール
21	＋＋	内部収益率 計算方法 エクセル	N/A	0	削除			解説		検索なし			対象外	不要
22	＋＋	内部収益率 計算方法 中小企業診断士	N/A	0	削除			解説		検索なし			対象外	不要
23	＋＋	irr 内部収益率 計算方法	N/A	0	削除			解説		検索なし			対象外	不要
24	＋＋	irr 内部収益率 目安	N/A	0	削除			解説		検索なし			対象外	不要
25	＋＋	内部収益率 irr とは	N/A	0	削除			解説		検索なし			対象外	不要
26	＋＋	内部収益率(irr)法	N/A	N/A	削除			解説		検索なし			対象外	不要
27	＋＋	irr 内部収益率 エクセル	N/A	0	削除			解説		検索なし			対象外	不要
28	＋＋	内部収益率(irr)とは	N/A	N/A	削除			解説		検索なし			対象外	不要
29	＋＋	irr(内部収益率)とは	N/A	N/A	削除			解説		検索なし			対象外	不要
30	＋＋	内部収益率 エクセル 関数	N/A	0	削除			解説		検索なし			対象外	不要
31	＋＋	内部収益率 計算 エクセル	N/A	10	計算ページ	Do（内部収益率を計算したい）	計算方法	実務ガイド	計算ツール		内部収益率計算	内部収益率の計算方法・シミュレーション	ツール集客	必須	計算ツール
32	＋＋	経済 的 内部収益率 エクセル	N/A	0	削除			解説		検索なし			対象外	不要
33	＋α	内部収益率 意味	N/A	10	記事	Know（内部収益率の意味を理解したい）	基礎知識	解説	解説記事	基礎解説	内部収益率基礎解説	内部収益率とは？仕組み・意味をわかりやすく解説	権威構築	必須	ピラーページ
34	＋α	内部収益率 英語	N/A	0	削除			解説		検索なし			対象外	不要
35	＋α	内部収益率 回収期間	N/A	0	削除			解説		検索なし			対象外	不要
36	＋α	内部収益率 簡単に	N/A	0	削除			解説		検索なし			対象外	不要
37	＋α	内部収益率 関数	N/A	0	削除			解説		検索なし			対象外	不要
38	＋α	内部収益率 考え方	N/A	0	削除			解説		検索なし			対象外	不要
39	＋α	内部収益率 期待収益率	N/A	0	削除			解説		検索なし			対象外	不要
40	＋α	内部収益率 近所	N/A	N/A	削除			解説		検索なし			対象外	不要
41	＋α	内部収益率 基準	N/A	0	削除			解説		検索なし			対象外	不要
42	＋α	内部収益率 期間	N/A	0	削除			解説		検索なし			対象外	不要
43	＋α	内部収益率 金利	N/A	0	削除			解説		検索なし			対象外	不要
44	＋α	期待収益率 内部収益率 違い	N/A	0	削除			解説		検索なし			対象外	不要
45	＋α	教育 内部収益率	N/A	0	削除			解説		検索なし			対象外	不要
46	＋α	内部収益率 計算	N/A	30	計算ページ	Do（内部収益率を計算したい）	計算方法	実務ガイド	計算ツール		内部収益率計算	内部収益率の計算方法・シミュレーション	ツール集客	必須	計算ツール
47	＋α	内部収益率 計算 サイト	N/A	50	計算ページ	Do（内部収益率を計算したい）	計算方法	実務ガイド	計算ツール		内部収益率計算	内部収益率の計算方法・シミュレーション	ツール集客	必須	計算ツール
48	＋α	内部収益率 計算 電卓	N/A	20	計算ページ	Do（内部収益率を計算したい）	計算方法	実務ガイド	計算ツール		内部収益率計算	内部収益率の計算方法・シミュレーション	ツール集客	必須	計算ツール
49	＋α	内部収益率 計算 例題	N/A	10	計算ページ	Do（内部収益率を計算したい）	計算方法	実務ガイド	計算ツール		内部収益率計算	内部収益率の計算方法・シミュレーション	ツール集客	必須	計算ツール
50	＋α	内部収益率 計算例	N/A	0	削除			解説		検索なし			対象外	不要
51	＋α	内部収益率 公式	N/A	0	削除			解説		検索なし			対象外	不要
52	＋α	内部収益率 最終利回り	N/A	0	削除			解説		検索なし			対象外	不要
53	＋α	内部収益率 正味現在価値	N/A	10	記事	Know（内部収益率の概要を知りたい）	税金	解説	解説記事	基礎解説	内部収益率税率	内部収益率の税率一覧と計算方法	権威構築	必須	計算ツール
54	＋α	内部収益率 正味現在価値 違い	N/A	0	削除			解説		検索なし			対象外	不要
55	＋α	内部収益率 証券アナリスト	N/A	0	削除			解説		検索なし			対象外	不要
56	＋α	内部収益率 数式	N/A	0	削除			解説		検索なし			対象外	不要
57	＋α	内部収益率 設備投資	N/A	0	削除			解説		検索なし			対象外	不要
58	＋α	内部収益率 高い 方が いい	N/A	30	記事	Know（内部収益率の金額を知りたい）	税金	解説	ガイド記事	金額	内部収益率税率	内部収益率の税率一覧と計算方法	権威構築	必須	計算ツール
59	＋α	内部収益率 中小企業診断士	N/A	0	削除			解説		検索なし			対象外	不要
60	＋α	内部収益率 利回り 違い	N/A	0	削除			解説		検索なし			対象外	不要
61	＋α	内部収益率 割引率 違い	N/A	N/A	削除			解説		検索なし			対象外	不要
62	＋α	内部収益率 使い方	N/A	0	削除			解説		検索なし			対象外	不要
63	＋α	内部収益率 定義	N/A	0	削除			解説		検索なし			対象外	不要
64	＋α	内部収益率 手計算	N/A	0	削除			解説		検索なし			対象外	不要
65	＋α	内部収益率 投資判断	N/A	0	削除			解説		検索なし			対象外	不要
66	＋α	内部収益率 投資収益率	N/A	0	削除			解説		検索なし			対象外	不要
67	＋α	内部収益率 なぜ内部	N/A	0	削除			解説		検索なし			対象外	不要
68	＋α	内部収益率 内部利益率	N/A	0	削除			解説		検索なし			対象外	不要
69	＋α	内部収益率 ハードルレート	N/A	0	削除			解説		検索なし			対象外	不要
70	＋α	費用便益分析 内部収益率	N/A	0	削除			解説		検索なし			対象外	不要
71	＋α	内部収益率 不動産	N/A	10	記事	Know（不動産での内部収益率を知りたい）	税金	解説	解説記事	不動産特化	内部収益率税率	内部収益率の税率一覧と計算方法	権威構築	必須	計算ツール
72	＋α	内部収益率 複数	N/A	0	削除			解説		検索なし			対象外	不要
73	＋α	内部収益率 複利	N/A	0	削除			解説		検索なし			対象外	不要
74	＋α	不動産投資 内部収益率	N/A	10	記事	Know（不動産での内部収益率を知りたい）	税金	解説	解説記事	不動産特化	内部収益率税率	内部収益率の税率一覧と計算方法	権威構築	必須	計算ツール
75	＋α	内部収益率 マイナス	N/A	0	削除			解説		検索なし			対象外	不要
76	＋α	内部収益率 メリット	N/A	0	削除			解説		検索なし			対象外	不要
77	＋α	内部収益率 問題点	N/A	0	削除			解説		検索なし			対象外	不要
78	＋α	要求利益率 内部収益率	N/A	0	削除			解説		検索なし			対象外	不要
79	＋α	内部収益率 利回り	N/A	0	削除			解説		検索なし			対象外	不要
80	＋α	利付債 内部収益率	N/A	N/A	削除			解説		検索なし			対象外	不要
81	＋α	内部収益率 例題	N/A	0	削除			解説		検索なし			対象外	不要
82	＋α	内部収益率 割引率	N/A	10	記事	Know（内部収益率の概要を知りたい）	税金	解説	解説記事	基礎解説	内部収益率税率	内部収益率の税率一覧と計算方法	権威構築	必須	計算ツール
83	＋α	内部収益率 wacc	N/A	0	削除			解説		検索なし			対象外	不要
84	＋α	内部収益率 npv	N/A	0	削除			解説		検索なし			対象外	不要
85	＋α	内部収益率 グラフ	N/A	0	削除			解説		検索なし			対象外	不要
86	＋α	内部収益率 具体例	N/A	0	削除			解説		検索なし			対象外	不要
87	＋α	内部収益率 現在価値	N/A	0	削除			解説		検索なし			対象外	不要
88	＋α	内部収益率 ゼロ	N/A	N/A	削除			解説		検索なし			対象外	不要
89	＋α	大学進学 内部収益率	N/A	N/A	削除			解説		検索なし			対象外	不要
90	＋α	内部収益率 デメリット	N/A	0	削除			解説		検索なし			対象外	不要
91	＋α	dcf法 内部収益率	N/A	0	削除			解説		検索なし			対象外	不要
