No	キーワード	SEO難易度	月間検索数	判定	検索意図	元トピック	ページID	ターゲットURL	ページタイトル案	振り分け理由
536	仲介手数料 〇円	N/A	0	削除						
537	仲介手数料 礼金 無料	26	10	記事	Know（無料の裏側・デメリットが不安）	無料の仕組み	article-02	/tools/brokerage/free	仲介手数料が無料のからくりとデメリット	トピック「無料の仕組み」
538	仲介手数料 礼金 なし	N/A	0	削除						
539	仲介手数料 礼金 別	N/A	0	削除						
540	仲介手数料 レオパレス	N/A	0	削除						
541	仲介手数料 例	45	0	削除						
542	仲介手数料 ローン	30	90	記事	Know（ローンに手数料を含められるか知りたい）	ローン関連	article-12	/tools/brokerage/payment	仲介手数料はいつ誰が払う？	トピック「ローン関連」
543	仲介手数料 6万円とは	N/A	20	計算ページ	Do（正確な金額を計算したい）	金額早見表	pillar	/tools/brokerage	仲介手数料シミュレーター【2026最新】	計算ページ → ピラー
544	仲介手数料 ローンに組み込む	29	110	記事	Know（支払い方法の選択肢を知りたい）	支払い・負担者	article-12	/tools/brokerage/payment	仲介手数料はいつ誰が払う？	トピック「支払い・負担者」
545	仲介手数料 ローン特約	20	10	記事	Know（ローンに手数料を含められるか知りたい）	ローン関連	article-12	/tools/brokerage/payment	仲介手数料はいつ誰が払う？	トピック「ローン関連」
546	仲介手数料 ローン手数料	N/A	0	削除						
547	仲介手数料 分かれとは	N/A	90	記事	Know（仲介手数料の仕組みを理解したい）	基礎解説（guide強化）	article-03	/tools/brokerage/about	仲介手数料とは？仕組みを分かりやすく解説	トピック「基礎解説（guide強化）」
548	仲介手数料 割引	27	140	記事	Buy（手数料を安くする方法を探したい）	安くする方法	article-08	/tools/brokerage/discount	仲介手数料が安い不動産会社の選び方	トピック「安くする方法」
549	仲介手数料 割引 交渉	43	20	記事	Do（手数料を値引き交渉したい）	交渉ガイド	article-06	/tools/brokerage/negotiation	仲介手数料の値引き交渉術【実体験】	トピック「交渉ガイド」
550	仲介手数料 分かれ	23	90	記事	Know（業界の仕組み・慣習を知りたい）	仕組み解説	article-03	/tools/brokerage/about	仲介手数料とは？仕組みを分かりやすく解説	トピック「仕組み解説」
551	仲介手数料 割合	42	50	記事	Know（手数料の計算ルールを知りたい）	費用の内訳	article-14	/tools/brokerage/breakdown	仲介手数料の内訳と料率	トピック「費用の内訳」
552	仲介手数料 割引 不動産	44	50	記事	Know（不動産取引の手数料全体を知りたい）	不動産関連	article-08	/tools/brokerage/discount	仲介手数料が安い不動産会社の選び方	トピック「不動産関連」
553	仲介手数料 割引 キャンペーン	N/A	0	削除						
554	仲介手数料 分かれ 片手	N/A	0	削除						
555	仲介手数料 割引 賃貸	30	30	記事	Know（賃貸の手数料ルールを知りたい）	賃貸特化	article-04	/tools/brokerage/rental	賃貸の仲介手数料ガイド	トピック「賃貸特化」
556	仲介手数料 分かれ 賃貸	28	0	削除						
557	ntt 仲介手数料	N/A	0	削除						
558	仲介手数料 ガイドライン	42	30	記事	Know（法律上の上限ルールを確認したい）	その他（要確認）	article-13	/tools/brokerage/reform-2024	2024年仲介手数料の法改正	その他 → article-13に振り分け
559	仲介手数料 会社によって違う	24	10	記事	Know（手数料の計算ルールを知りたい）	その他（要確認）	article-03	/tools/brokerage/about	仲介手数料とは？仕組みを分かりやすく解説	その他 → article-03に振り分け
560	仲介手数料 額	N/A	10	記事	Know（手数料の計算ルールを知りたい）	その他（要確認）	article-03	/tools/brokerage/about	仲介手数料とは？仕組みを分かりやすく解説	その他 → article-03に振り分け
561	仲介手数料 概算	30	0	削除						
562	仲介手数料 買付手数料 違い	N/A	0	削除						
563	仲介手数料 学長	N/A	0	削除						
564	仲介手数料 学割	N/A	0	削除						
565	仲介手数料 外形標準課税	N/A	0	削除						
566	仲介手数料 ガイドライン 賃貸	N/A	0	削除						
567	エイブル 仲介手数料 学割	N/A	10	削除		ブランドKW				ブランドKW
568	仲介手数料 業務委託料	19	10	記事	Know（業界の仕組み・慣習を知りたい）	業界の仕組み	article-03	/tools/brokerage/about	仲介手数料とは？仕組みを分かりやすく解説	トピック「業界の仕組み」
569	仲介手数料 義務	N/A	10	記事	Know（法律上の上限ルールを確認したい）	その他（要確認）	article-07	/tools/brokerage/law	仲介手数料の上限と法律	その他 → article-07に振り分け
570	仲介手数料 業法	30	10	記事	Know（法律上の上限ルールを確認したい）	法律・規制	article-07	/tools/brokerage/law	仲介手数料の上限と法律	トピック「法律・規制」
571	仲介手数料 業者売主	N/A	10	記事	Know（売主・買主どちらが負担するか知りたい）	売買特化	article-05	/tools/brokerage/purchase	売買の仲介手数料ガイド	トピック「売買特化」
572	仲介手数料 業者間	30	10	記事	Know（業界の仕組み・慣習を知りたい）	業界の仕組み	article-03	/tools/brokerage/about	仲介手数料とは？仕組みを分かりやすく解説	トピック「業界の仕組み」
573	仲介手数料 逆算	33	0	削除						
574	仲介手数料 業法違反	25	0	削除						
575	仲介手数料 決め方	43	0	削除						
576	仲介手数料 業務委託料 違法	N/A	0	削除						
577	仲介手数料 業務委託料 違い	18	20	記事	Know（業界の仕組み・慣習を知りたい）	業界の仕組み	article-03	/tools/brokerage/about	仲介手数料とは？仕組みを分かりやすく解説	トピック「業界の仕組み」
578	仲介手数料 グループ会社	29	0	削除						
579	グランドネクスト不動産 仲介手数料	41	20	削除		ブランドKW				ブランドKW
580	グランデ 仲介手数料	23	0	削除						
581	グランディハウス 仲介手数料	30	10	削除		ブランドKW				ブランドKW
582	グランツエステート 仲介手数料	19	0	削除						
583	グランホームズ 明石 仲介手数料	N/A	0	削除						
584	グールーム 仲介手数料	34	20	削除		ブランドKW				ブランドKW
585	グッドリビング 仲介手数料	24	0	削除						
586	グッドルーム 仲介手数料	40	10	削除		ブランドKW				ブランドKW
587	グローバルセンター 仲介手数料	34	0	削除						
588	仲介手数料 減価償却	32	50	記事	Know（資産計上の方法を知りたい）	会計処理	article-09	/tools/brokerage/accounting	仲介手数料の勘定科目・仕訳・経費処理	トピック「会計処理」
589	仲介手数料 原則	41	30	記事	Know（手数料の計算ルールを知りたい）	その他（要確認）	article-07	/tools/brokerage/law	仲介手数料の上限と法律	その他 → article-07に振り分け
590	仲介手数料 減額	47	30	記事	Do（手数料を値引き交渉したい）	交渉ガイド	article-06	/tools/brokerage/negotiation	仲介手数料の値引き交渉術【実体験】	トピック「交渉ガイド」
591	仲介手数料 減額交渉	N/A	10	記事	Do（手数料を値引き交渉したい）	交渉ガイド	article-06	/tools/brokerage/negotiation	仲介手数料の値引き交渉術【実体験】	トピック「交渉ガイド」
592	仲介手数料 限度額	45	40	記事	Know（手数料の計算ルールを知りたい）	その他（要確認）	article-14	/tools/brokerage/breakdown	仲介手数料の内訳と料率	その他 → article-14に振り分け
593	仲介手数料 現金	46	30	記事	Know（いつ・どう払うのかわからない）	その他（要確認）	article-12	/tools/brokerage/payment	仲介手数料はいつ誰が払う？	その他 → article-12に振り分け
594	仲介手数料 原価	N/A	10	記事	Do（仕訳・勘定科目を調べたい）	その他（要確認）	article-09	/tools/brokerage/accounting	仲介手数料の勘定科目・仕訳・経費処理	その他 → article-09に振り分け
595	仲介手数料 源泉徴収	30	10	記事	Do（仕訳・勘定科目を調べたい）	その他（要確認）	article-09	/tools/brokerage/accounting	仲介手数料の勘定科目・仕訳・経費処理	その他 → article-09に振り分け
596	仲介手数料 限度	43	20	記事	Know（手数料の計算ルールを知りたい）	その他（要確認）	article-14	/tools/brokerage/breakdown	仲介手数料の内訳と料率	その他 → article-14に振り分け
597	仲介手数料 現金払い	N/A	0	削除						
598	仲介手数料 後払い	32	20	記事	Know（いつ・どう払うのかわからない）	支払い・負担者	article-12	/tools/brokerage/payment	仲介手数料はいつ誰が払う？	トピック「支払い・負担者」
599	仲介手数料 雑費	50	0	削除						
600	仲介手数料 勘定科目 雑費	56	10	記事	Do（仕訳・勘定科目を調べたい）	会計処理	article-09	/tools/brokerage/accounting	仲介手数料の勘定科目・仕訳・経費処理	トピック「会計処理」
601	財産分与 不動産 仲介手数料	23	0	削除						
602	雑種地 仲介手数料	N/A	0	削除						
603	仲介手数料 住宅ローン	31	210	記事	Know（ローンに手数料を含められるか知りたい）	ローン関連	article-12	/tools/brokerage/payment	仲介手数料はいつ誰が払う？	トピック「ローン関連」
604	仲介手数料 事務手数料	21	20	記事	Know（業界の仕組み・慣習を知りたい）	その他（要確認）	article-03	/tools/brokerage/about	仲介手数料とは？仕組みを分かりやすく解説	その他 → article-03に振り分け
605	仲介手数料 10万	42	20	計算ページ	Do（正確な金額を計算したい）	金額早見表	pillar	/tools/brokerage	仲介手数料シミュレーター【2026最新】	計算ページ → ピラー
606	仲介手数料 自動計算	33	40	計算ページ	Do（正確な金額を計算したい）	（計算ページ）	pillar	/tools/brokerage	仲介手数料シミュレーター【2026最新】	計算ページ → ピラー
607	仲介手数料 譲渡費用	30	10	記事	Know（手数料の計算ルールを知りたい）	費用の内訳	article-14	/tools/brokerage/breakdown	仲介手数料の内訳と料率	トピック「費用の内訳」
608	仲介手数料 自社管理物件	N/A	0	削除						
609	仲介手数料 図	42	0	削除						
610	住む → ズ 仲介手数料	N/A	0	削除						
611	仲介手数料 税金	27	170	記事	Know（税金の扱いを知りたい）	税金関連	article-11	/tools/brokerage/tax	仲介手数料の消費税・税金	トピック「税金関連」
612	仲介手数料 税込	41	70	記事	Know（税金の扱いを知りたい）	税金関連	article-11	/tools/brokerage/tax	仲介手数料の消費税・税金	トピック「税金関連」
613	仲介手数料 ゼロ	34	170	記事	Know（無料の裏側・デメリットが不安）	無料の仕組み	article-02	/tools/brokerage/free	仲介手数料が無料のからくりとデメリット	トピック「無料の仕組み」
614	仲介手数料 ゼロ 不動産	23	90	記事	Know（無料の不動産会社を探したい）	無料の仕組み	article-02	/tools/brokerage/free	仲介手数料が無料のからくりとデメリット	トピック「無料の仕組み」
615	仲介手数料 税別	28	0	削除						
616	仲介手数料 税金かかる	44	20	記事	Know（税金の扱いを知りたい）	税金関連	article-11	/tools/brokerage/tax	仲介手数料の消費税・税金	トピック「税金関連」
617	仲介手数料 税抜	N/A	0	削除						
618	仲介手数料 税率	44	10	記事	Know（税金の扱いを知りたい）	税金関連	article-11	/tools/brokerage/tax	仲介手数料の消費税・税金	トピック「税金関連」
619	仲介手数料 税	27	170	記事	Know（税金の扱いを知りたい）	税金関連	article-11	/tools/brokerage/tax	仲介手数料の消費税・税金	トピック「税金関連」
620	仲介手数料 ゼロにする	44	0	削除						
621	仲介手数料 贈与税	N/A	0	削除						
622	仲介手数料 増額	30	0	削除						
623	仲介手数料 贈与	27	0	削除						
624	不動産 仲介手数料 贈与	27	0	削除						
625	造作譲渡 仲介手数料	21	20	記事	Know（手数料の計算ルールを知りたい）	その他（要確認）	article-03	/tools/brokerage/about	仲介手数料とは？仕組みを分かりやすく解説	その他 → article-03に振り分け
626	贈与契約 仲介手数料	N/A	0	削除						
627	仲介手数料 大東建託	34	390	削除		ブランドKW				ブランドKW
628	仲介手数料 代理	23	10	記事	Know（業界の仕組み・慣習を知りたい）	業界の仕組み	article-03	/tools/brokerage/about	仲介手数料とは？仕組みを分かりやすく解説	トピック「業界の仕組み」
629	仲介手数料 だいたいいくら	43	0	削除						
630	仲介手数料 誰が決める	N/A	0	削除						
631	仲介手数料 出し方	30	10	記事	Know（手数料の計算ルールを知りたい）	その他（要確認）	article-03	/tools/brokerage/about	仲介手数料とは？仕組みを分かりやすく解説	その他 → article-03に振り分け
632	仲介手数料 誰が払う 賃貸	41	0	削除						
633	仲介手数料 代理手数料	N/A	0	削除						
634	digroom 仲介手数料	N/A	0	削除						
635	仲介手数料 デメリット	28	0	削除						
636	仲介手数料 電卓	N/A	0	削除						
637	仲介手数料 なし デメリット	26	50	記事	Know（無料の裏側・デメリットが不安）	無料の仕組み	article-02	/tools/brokerage/free	仲介手数料が無料のからくりとデメリット	トピック「無料の仕組み」
638	仲介手数料 安い デメリット	24	10	記事	Buy（手数料を安くする方法を探したい）	安くする方法	article-08	/tools/brokerage/discount	仲介手数料が安い不動産会社の選び方	トピック「安くする方法」
639	賃貸 仲介手数料 無料 デメリット	42	70	記事	Know（賃貸で手数料を安くする方法を知りたい）	賃貸特化	article-04	/tools/brokerage/rental	賃貸の仲介手数料ガイド	トピック「賃貸特化」
640	オープンハウス ディベロップメント 仲介手数料	39	10	削除		ブランドKW				ブランドKW
641	ディールーム 仲介手数料	29	0	削除						
642	ディーラー 仲介手数料	N/A	0	削除						
643	電話問い合わせ 仲介手数料	27	10	記事	Know（業界の仕組み・慣習を知りたい）	その他（要確認）	article-03	/tools/brokerage/about	仲介手数料とは？仕組みを分かりやすく解説	その他 → article-03に振り分け
644	仲介手数料 どこに書いてある	39	50	記事	Do（請求された手数料が正しいか確認したい）	確認方法	article-12	/tools/brokerage/payment	仲介手数料はいつ誰が払う？	トピック「確認方法」
645	仲介手数料 どれくらい	N/A	40	記事	Know（いくら払うのか相場を知りたい）	相場ガイド	article-01	/tools/brokerage/market-rate	仲介手数料の相場【物件タイプ別】	トピック「相場ガイド」
646	仲介手数料 どちらが払う	33	40	記事	Know（誰が負担するのかわからない）	支払い・負担者	article-12	/tools/brokerage/payment	仲介手数料はいつ誰が払う？	トピック「支払い・負担者」
647	仲介手数料 どこが安い	32	20	記事	Buy（手数料を安くする方法を探したい）	安くする方法	article-08	/tools/brokerage/discount	仲介手数料が安い不動産会社の選び方	トピック「安くする方法」
648	仲介手数料 どこも同じ	26	0	削除						
649	仲介手数料 どのくらい値切れる	N/A	0	削除						
650	仲介手数料 どのタイミング	31	0	削除						
651	仲介手数料 どこまで値切れる	N/A	0	削除						
652	仲介手数料 どこに払う	28	0	削除						
653	仲介手数料 どこまで下げれる	44	0	削除						
654	仲介手数料 売買	29	1600	記事	Know（売買の手数料ルールを知りたい）	売買特化	article-05	/tools/brokerage/purchase	売買の仲介手数料ガイド	トピック「売買特化」
655	仲介手数料 媒介契約書	N/A	0	削除						
656	仲介手数料 媒介	47	10	記事	Know（契約・書類の手続きを知りたい）	契約・書類	article-15	/tools/brokerage/documents	仲介手数料の契約書・印紙・手付金	トピック「契約・書類」
657	仲介手数料 売買 上限	45	30	記事	Know（法律上の上限ルールを確認したい）	法律・規制	article-07	/tools/brokerage/law	仲介手数料の上限と法律	トピック「法律・規制」
658	仲介手数料 売却	27	140	記事	Know（売却時の手数料を把握したい）	売買特化	article-05	/tools/brokerage/purchase	売買の仲介手数料ガイド	トピック「売買特化」
659	仲介手数料 売買 計算	44	70	計算ページ	Do（正確な金額を計算したい）	（計算ページ）	pillar	/tools/brokerage	仲介手数料シミュレーター【2026最新】	計算ページ → ピラー
660	仲介手数料 売買 両手	N/A	10	記事	Know（売買の手数料ルールを知りたい）	売買特化	article-05	/tools/brokerage/purchase	売買の仲介手数料ガイド	トピック「売買特化」
661	仲介手数料 売買 不動産	32	3600	記事	Know（売買の手数料ルールを知りたい）	売買特化	article-05	/tools/brokerage/purchase	売買の仲介手数料ガイド	トピック「売買特化」
662	仲介手数料 売買価格 消費税	26	10	記事	Know（売買の手数料ルールを知りたい）	売買特化	article-05	/tools/brokerage/purchase	売買の仲介手数料ガイド	トピック「売買特化」
663	仲介手数料 ビッグ	26	0	削除						
664	仲介手数料 ビジネス	71	10	記事	Know（特定会社の手数料を知りたい）	その他（要確認）	article-03	/tools/brokerage/about	仲介手数料とは？仕組みを分かりやすく解説	その他 → article-03に振り分け
665	仲介手数料 ビジネス用語	27	0	削除						
666	ビジョンエステート 仲介手数料	24	20	削除		ブランドKW				ブランドKW
667	不動産 ビッグ 仲介手数料	25	20	削除		ブランドKW				ブランドKW
668	ビレッジハウス 仲介手数料	25	10	削除		ブランドKW				ブランドKW
669	ビズリーチ 仲介手数料	48	0	削除						
670	ビル売買 仲介手数料	42	0	削除						
671	ビッグ 仲介手数料	N/A	50	削除		ブランドKW				ブランドKW
672	ビッグ 賃貸 仲介手数料	27	0	削除						
673	仲介手数料 物件価格	42	10	記事	Know（手数料の計算ルールを知りたい）	その他（要確認）	article-10	/tools/brokerage/property-type	物件タイプ別の仲介手数料	その他 → article-10に振り分け
674	仲介手数料 物件	48	40	記事	Know（手数料の計算ルールを知りたい）	その他（要確認）	article-10	/tools/brokerage/property-type	物件タイプ別の仲介手数料	その他 → article-10に振り分け
675	仲介手数料 分割	30	30	記事	Know（支払い方法の選択肢を知りたい）	支払い・負担者	article-12	/tools/brokerage/payment	仲介手数料はいつ誰が払う？	トピック「支払い・負担者」
676	仲介手数料 物件価格 消費税	27	0	削除						
677	仲介手数料 分割払い	30	10	記事	Know（支払い方法の選択肢を知りたい）	支払い・負担者	article-12	/tools/brokerage/payment	仲介手数料はいつ誰が払う？	トピック「支払い・負担者」
678	仲介手数料 物件購入	N/A	0	削除						
679	仲介手数料 分譲	43	40	記事	Know（自分の物件タイプの手数料を知りたい）	その他（要確認）	article-10	/tools/brokerage/property-type	物件タイプ別の仲介手数料	その他 → article-10に振り分け
680	仲介手数料 物件によって違う	24	0	削除						
681	仲介手数料 分譲マンション	42	10	記事	Know（自分の物件タイプの手数料を知りたい）	物件タイプ別	article-10	/tools/brokerage/property-type	物件タイプ別の仲介手数料	トピック「物件タイプ別」
682	仲介手数料 別名	25	0	削除						
683	仲介手数料 別の不動産	22	0	削除						
684	仲介手数料 弁護士	27	10	記事	Know（特殊なケースの手数料を知りたい）	その他（要確認）	article-07	/tools/brokerage/law	仲介手数料の上限と法律	その他 → article-07に振り分け
685	仲介手数料 勉強	46	0	削除						
686	仲介手数料 別途	47	0	削除						
687	仲介手数料 簿価	19	0	削除						
688	仲介手数料 簿記	52	30	記事	Do（仕訳・勘定科目を調べたい）	会計処理	article-09	/tools/brokerage/accounting	仲介手数料の勘定科目・仕訳・経費処理	トピック「会計処理」
689	仲介手数料 ぼったくられた	40	10	記事	Know（請求された金額が違法でないか確認したい）	その他（要確認）	article-07	/tools/brokerage/law	仲介手数料の上限と法律	その他 → article-07に振り分け
690	仲介手数料 パーセント	42	40	記事	Know（手数料の計算ルールを知りたい）	その他（要確認）	article-03	/tools/brokerage/about	仲介手数料とは？仕組みを分かりやすく解説	その他 → article-03に振り分け
691	不動産 仲介手数料 パーセント	N/A	10	記事	Know（不動産取引の手数料全体を知りたい）	不動産関連	article-08	/tools/brokerage/discount	仲介手数料が安い不動産会社の選び方	トピック「不動産関連」
692	paypay 仲介手数料	33	20	削除		ブランドKW				ブランドKW
693	パークダイレクト 仲介手数料	34	0	削除						
694	パークアクシス 仲介手数料	N/A	10	記事	Know（特定会社の手数料を知りたい）	その他（要確認）	article-03	/tools/brokerage/about	仲介手数料とは？仕組みを分かりやすく解説	その他 → article-03に振り分け
695	パナソニックホームズ 仲介手数料	37	0	削除						
696	パナソニックホームズ 賃貸 仲介手数料	37	0	削除						
697	パナソニックホームズ不動産 仲介手数料	40	0	削除						
698	パシフィックホーム 仲介手数料	N/A	0	削除						
699	パワーポート 仲介手数料	20	0	削除						
700	仲介手数料 ピタットハウス	34	720	削除		ブランドKW				ブランドKW
701	ぴたっとハウス 仲介手数料	N/A	0	削除						
702	ぴたっとはうす 仲介手数料	N/A	0	削除						
703	ピタットハウス 仲介手数料 キャンペーン	17	50	削除		ブランドKW				ブランドKW
704	ピタットハウス 仲介手数料 無料	24	30	削除		ブランドKW				ブランドKW
705	ピタットハウス 仲介手数料 割引	27	20	削除		ブランドKW				ブランドKW
706	ピタットハウス 仲介手数料 高い	N/A	20	削除		ブランドKW				ブランドKW
707	ピタットハウス 仲介手数料 交渉	N/A	20	削除		ブランドKW				ブランドKW
708	ピタットハウス 賃貸 仲介手数料	24	20	削除		ブランドKW				ブランドKW
709	ピタットハウス 仲介手数料 半額	N/A	10	削除		ブランドKW				ブランドKW
710	仲介手数料 プラス6万	25	0	削除						
711	仲介手数料 3 プラス6万円	25	40	計算ページ	Do（正確な金額を計算したい）	金額早見表	pillar	/tools/brokerage	仲介手数料シミュレーター【2026最新】	計算ページ → ピラー
712	不動産 仲介手数料 プラス6万	N/A	0	削除						
713	プライムコーポレーション 仲介手数料	34	30	削除		ブランドKW				ブランドKW
714	プランドゥシー 仲介手数料	40	0	削除						
715	プラスワン不動産 仲介手数料	N/A	0	削除						
716	プラスホーム 仲介手数料	N/A	0	削除						
717	プロパティバンク 仲介手数料	21	20	記事	Know（特定会社の手数料を知りたい）	その他（要確認）	article-03	/tools/brokerage/about	仲介手数料とは？仕組みを分かりやすく解説	その他 → article-03に振り分け
718	野村不動産 プラウド 仲介手数料	23	0	削除						
719	プレサンス 仲介手数料	N/A	0	削除						
720	ペアラボ 仲介手数料	24	20	削除		ブランドKW				ブランドKW
721	ペアローン 仲介手数料	22	0	削除						
722	ペイペイ 仲介手数料	N/A	0	削除						
723	仲介手数料 ポルトガル語	N/A	0	削除						
724	仲介手数料 ポラス	43	0	削除						
725	ポラス 仲介手数料 値引き	43	20	削除		ブランドKW				ブランドKW
726	ポラスの賃貸 仲介手数料	26	20	削除		ブランドKW				ブランドKW
727	ポラス 中古 仲介手数料	N/A	10	削除		ブランドKW				ブランドKW
728	ポラス 建売 仲介手数料	40	0	削除						
729	ポラス 分譲 仲介手数料	N/A	0	削除						
730	ポラスの分譲住宅 仲介手数料	N/A	0	削除						
731	ポラス 仲介手数料 賃貸	26	0	削除						
732	ポピンズシッター 仲介手数料	N/A	0	削除						
733	仲介手数料 誰に払う	44	30	記事	Know（誰が負担するのかわからない）	支払い・負担者	article-12	/tools/brokerage/payment	仲介手数料はいつ誰が払う？	トピック「支払い・負担者」
734	l-home 仲介手数料	22	10	削除		ブランドKW				ブランドKW
735	vision 不動産 仲介手数料	13	50	削除		ブランドKW				ブランドKW
736	vision 仲介手数料	18	0	削除						
737	ヴィックスリアルエステート 仲介手数料	25	20	削除		ブランドKW				ブランドKW
738	ヴィダックス 仲介手数料	36	10	削除		ブランドKW				ブランドKW
739	verus 仲介手数料	N/A	0	削除						
740	仲介手数料 line	42	0	削除						
741	仲介手数料 無料 line	38	20	記事	Know（無料の裏側・デメリットが不安）	無料の仕組み	article-02	/tools/brokerage/free	仲介手数料が無料のからくりとデメリット	トピック「無料の仕組み」
742	lakia 不動産 仲介手数料	25	110	削除		ブランドKW				ブランドKW
743	lifix 仲介手数料	18	30	削除		ブランドKW				ブランドKW
744	likeホーム 仲介手数料	N/A	0	削除						
745	lifull home's 仲介手数料	40	0	削除						
746	lixil 仲介手数料	N/A	0	削除						
747	lielu 仲介手数料	N/A	0	削除						
748	lixil不動産 仲介手数料	N/A	0	削除						
749	xrooms 仲介手数料	N/A	0	削除						


===== ページ別サマリー =====
ページID	URL	ページタイトル案	KW数	月間SV合計	検索意図タイプ
pillar	/tools/brokerage	仲介手数料シミュレーター【2026最新】	65	31990	Do（計算したい）
article-01	/tools/brokerage/market-rate	仲介手数料の相場【物件タイプ別】	19	17250	Know（相場を知りたい）
article-02	/tools/brokerage/free	仲介手数料が無料のからくりとデメリット	22	16900	Know（無料の仕組みを知りたい）
article-03	/tools/brokerage/about	仲介手数料とは？仕組みを分かりやすく解説	56	21860	Know（基礎を理解したい）
article-04	/tools/brokerage/rental	賃貸の仲介手数料ガイド	34	15630	Know（賃貸ルールを知りたい）
article-05	/tools/brokerage/purchase	売買の仲介手数料ガイド	17	11570	Know（売買ルールを知りたい）
article-06	/tools/brokerage/negotiation	仲介手数料の値引き交渉術【実体験】	29	8340	Do（交渉したい）
article-07	/tools/brokerage/law	仲介手数料の上限と法律	30	7420	Know（法律を確認したい）
article-08	/tools/brokerage/discount	仲介手数料が安い不動産会社の選び方	26	6180	Buy（安くしたい）
article-09	/tools/brokerage/accounting	仲介手数料の勘定科目・仕訳・経費処理	37	3750	Do（仕訳・経費処理したい）
article-10	/tools/brokerage/property-type	物件タイプ別の仲介手数料	20	3780	Know（物件タイプ別を知りたい）
article-11	/tools/brokerage/tax	仲介手数料の消費税・税金	18	2030	Know（税金を確認したい）
article-12	/tools/brokerage/payment	仲介手数料はいつ誰が払う？	30	1470	Know（支払い方法を知りたい）
article-13	/tools/brokerage/reform-2024	2024年仲介手数料の法改正	9	840	Know（法改正の影響を知りたい）
article-14	/tools/brokerage/breakdown	仲介手数料の内訳と料率	18	1110	Know（内訳・料率を知りたい）
article-15	/tools/brokerage/documents	仲介手数料の契約書・印紙・手付金	7	300	Know（書類手続きを知りたい）
合計			437	150420	


===== トピック統合ロジック =====
ターゲットURL	統合元トピック	統合理由
/tools/brokerage	計算ページ（64KW）+ ヘッドワード「仲介手数料」	計算機がメイン。ヘッドワードはH1で獲得
/tools/brokerage/about	基礎解説 + 不動産全般 + 仕組み解説 + 業界の仕組み	全て「仲介手数料とは何か」の基礎Know意図
/tools/brokerage/rental	賃貸特化 + 賃料・管理費関連 + 計算×テーマ複合	全て賃貸文脈のKW
/tools/brokerage/law	法律・規制 + 違法性の解説	法的判断は同一ページで完結
/tools/brokerage/discount	安い不動産会社 + 安くする方法 + 高い対処 + 節約・回避 + 比較・ランキング + 不動産関連	全て「安くしたい」Buy意図
/tools/brokerage/tax	消費税解説 + 税金関連	税金は1ページで完結
/tools/brokerage/payment	支払い・負担者 + ローン関連 + 確認方法	全て「いつ・どう払うか」
/tools/brokerage/breakdown	費用の内訳 + 初期費用比較	料率・金額の詳細
