No	区分	キーワード	SEO難易度	月間検索数	判定	検索意図	ページ種類	トピック	狙い目	要確認	ページグループ	想定記事タイトル	カテゴリ
297	＋α	不動産投資 サブリース デメリット	25	30	体験記事	Know（メリット・デメリットを知りたい）	体験談	メリデメ	◎	要確認	メリット・デメリット	不動産投資のメリット・デメリット｜向いている人の特徴	始め方ガイド
298	＋α	不動産投資 少額	33	720	解説記事	Know（不動産投資について知りたい）	解説記事	基礎解説	◎		基礎解説		基礎解説
299	＋α	不動産投資 シミュレーション	31	880	解説記事	Do（計算したい → ooya.techへ誘導）	ツール紹介	計算→ooya.tech誘導	◎		ツール紹介	不動産投資シミュレーションツール｜無料で使える計算ツール	ツール紹介
300	＋α	不動産投資 資格	27	320	解説記事	Know（不動産投資の勉強方法を知りたい）	まとめ記事	勉強・書籍	◎		勉強法	不動産投資の勉強方法｜おすすめセミナー・資格・学び方	勉強・情報収集
301	＋α	不動産投資 初期費用	28	320	体験記事	Know（必要な資金を知りたい）	体験談	必要資金	◎		必要資金	不動産投資の初期費用・必要資金｜予算別の投資プラン	収支・利回り
302	＋α	不動産投資 種類	31	320	解説記事	Know（不動産投資について知りたい）	解説記事	基礎解説	◎		基礎解説		基礎解説
303	＋α	不動産投資 仕組み	30	390	解説記事	Know（基礎知識を知りたい）	解説記事	基礎解説	◎		基礎解説		基礎解説
304	＋α	不動産投資 スキーム	N/A	40	解説記事	Know（不動産投資について知りたい）	解説記事	基礎解説	◎		基礎解説		基礎解説
305	＋α	不動産投資 住む	N/A	20	解説記事	Know（不動産投資について知りたい）	解説記事	基礎解説	◎		基礎解説		基礎解説
306	＋α	不動産投資 スクール	25	70	解説記事	Know（不動産投資について知りたい）	解説記事	基礎解説	◎		基礎解説		基礎解説
307	＋α	不動産投資 スーモ	39	20	解説記事	Know（不動産投資について知りたい）	解説記事	基礎解説	◎		基礎解説		基礎解説
308	＋α	不動産投資 進め方	N/A	20	解説記事	Know（不動産投資について知りたい）	解説記事	基礎解説	◎		基礎解説		基礎解説
309	＋α	不動産投資 推移	N/A	10	解説記事	Know（不動産投資について知りたい）	解説記事	基礎解説	◎		基礎解説		基礎解説
310	＋α	不動産投資 住みながら	25	0	削除			検索なし	◎				
311	＋α	不動産投資 勧めてくる	N/A	0	削除			検索なし	◎				
312	＋α	不動産投資 すぐに売る	45	0	削除			検索なし					
313	＋α	不動産投資 スマホ 経費	N/A	0	削除			検索なし	◎				
314	＋α	不動産投資 セミナー	41	720	解説記事	Know（不動産投資の勉強方法を知りたい）	まとめ記事	勉強・書籍			勉強法	不動産投資の勉強方法｜おすすめセミナー・資格・学び方	勉強・情報収集
315	＋α	不動産投資 成功率	39	1000	体験記事	Know（成功事例を知りたい）	体験談	成功事例	◎		成功と現実	不動産投資は儲かる？成功率と儲かる人の特徴	始め方ガイド
316	＋α	不動産投資 仙台	26	110	削除			地域KW	◎				
317	＋α	不動産投資 成功例	31	70	体験記事	Know（成功事例を知りたい）	体験談	成功事例	◎		成功と現実	不動産投資は儲かる？成功率と儲かる人の特徴	始め方ガイド
318	＋α	不動産投資 相談	31	260	解説記事	Know（不動産投資について知りたい）	解説記事	基礎解説	◎		基礎解説		基礎解説
319	＋α	不動産投資 損益通算	32	90	解説記事	Know（不動産投資について知りたい）	解説記事	基礎解説	◎		基礎解説		基礎解説
320	＋α	不動産投資 相続	28	50	解説記事	Know（不動産投資について知りたい）	解説記事	基礎解説	◎		基礎解説		基礎解説
321	＋α	不動産投資 相続税対策	31	110	解説記事	Know（不動産投資について知りたい）	解説記事	基礎解説	◎		基礎解説		基礎解説
322	＋α	不動産投資 相続対策	30	40	解説記事	Know（不動産投資について知りたい）	解説記事	基礎解説	◎		基礎解説		基礎解説
323	＋α	不動産投資 損益分岐点	N/A	40	解説記事	Know（不動産投資について知りたい）	解説記事	基礎解説	◎		基礎解説		基礎解説
324	＋α	不動産投資 相談先	33	20	解説記事	Know（不動産投資について知りたい）	解説記事	基礎解説	◎		基礎解説		基礎解説
325	＋α	不動産投資 損する	N/A	10	解説記事	Know（不動産投資について知りたい）	解説記事	基礎解説	◎		基礎解説		基礎解説
326	＋α	不動産投資 想定利回り	N/A	10	解説記事	Know（利回り・収支の実態を知りたい）	実践ガイド	利回り・収支	◎		利回り基礎	不動産投資の利回りとは？計算方法と目安を解説	収支・利回り
327	＋α	不動産投資 訴訟	N/A	10	解説記事	Know（不動産投資について知りたい）	解説記事	基礎解説	◎		基礎解説		基礎解説
328	＋α	不動産投資 宅建	27	260	解説記事	Know（不動産投資について知りたい）	解説記事	基礎解説	◎		基礎解説		基礎解説
329	＋α	不動産投資 tapp	N/A	30	解説記事	Know（不動産投資について知りたい）	解説記事	基礎解説	◎		基礎解説		基礎解説
330	＋α	不動産投資 タイミング	28	20	解説記事	Know（時期・期間を知りたい）	実践ガイド	時期・タイミング	◎		投資期間	不動産投資の回収期間｜何年で元が取れる？	始め方ガイド
331	＋α	不動産投資 滝島	26	20	解説記事	Know（不動産投資について知りたい）	解説記事	基礎解説	◎		基礎解説		基礎解説
332	＋α	不動産投資 宅建士	26	20	解説記事	Know（不動産投資について知りたい）	解説記事	基礎解説	◎		基礎解説		基礎解説
333	＋α	不動産投資 逮捕	N/A	30	解説記事	Know（不動産投資について知りたい）	解説記事	基礎解説	◎		基礎解説		基礎解説
334	＋α	不動産投資 タワマン	N/A	20	解説記事	Know（不動産投資について知りたい）	解説記事	基礎解説	◎		基礎解説		基礎解説
335	＋α	不動産投資 短期	N/A	10	解説記事	Know（不動産投資について知りたい）	解説記事	基礎解説	◎		基礎解説		基礎解説
336	＋α	不動産投資 大家	N/A	20	体験記事	Know（運営のリアルを知りたい）	体験談	管理・運営	◎		管理・運営	不動産投資の管理会社選び｜大家としての運営体験	大家の実務
337	＋α	不動産投資 田中	N/A	0	削除			検索なし	◎				
338	＋α	不動産投資 小さく始める	31	210	体験記事	Know（不動産投資の始め方を知りたい）	体験談	始め方・初心者向け	◎		始め方ガイド	不動産投資の始め方｜初心者が最初にやるべき5ステップ	始め方ガイド
339	＋α	不動産投資 駐車場	30	110	解説記事	Know（不動産投資について知りたい）	解説記事	基礎解説	◎		基礎解説		基礎解説
340	＋α	不動産投資 中古マンション	N/A	70	体験記事	Know（物件選びの実体験を知りたい）	体験談	物件選び	◎		マンション投資	マンション・ワンルーム投資のリアル｜メリットと注意点	物件選び
341	＋α	不動産投資 中古戸建	N/A	40	体験記事	Know（物件選びの実体験を知りたい）	体験談	物件選び	◎		物件選び基礎	不動産投資の物件探し｜優良物件を見つける方法	物件選び
342	＋α	不動産投資 注意点	N/A	70	体験記事	Know（リスク・注意点を知りたい）	体験談	リスク・注意点	◎		リスク対策	不動産投資のリスク一覧と対策｜実体験から学ぶヘッジ策	失敗談・リアルな話
343	＋α	不動産投資 地方	29	110	解説記事	Know（不動産投資について知りたい）	解説記事	基礎解説	◎		基礎解説		基礎解説
344	＋α	不動産投資 知恵袋	42	40	削除			QAサイト					
345	＋α	不動産投資 賃貸	N/A	70	解説記事	Know（不動産投資について知りたい）	解説記事	基礎解説	◎		基礎解説		基礎解説
346	＋α	不動産投資 賃貸経営	49	20	解説記事	Know（不動産投資について知りたい）	解説記事	基礎解説			基礎解説		基礎解説
347	＋α	不動産投資 仲介手数料	N/A	40	解説記事	Know（不動産投資について知りたい）	解説記事	基礎解説	◎		基礎解説		基礎解説
348	＋α	不動産投資 月1万	N/A	50	体験記事	Know（必要な資金を知りたい）	体験談	必要資金	◎		必要資金	不動産投資の初期費用・必要資金｜予算別の投資プラン	収支・利回り
349	＋α	不動産投資 積立	N/A	20	解説記事	Know（不動産投資について知りたい）	解説記事	基礎解説	◎		基礎解説		基礎解説
350	＋α	不動産投資 月いくら	N/A	10	解説記事	Know（相場・目安を知りたい）	実践ガイド	相場・目安	◎		必要資金	不動産投資の初期費用・必要資金｜予算別の投資プラン	収支・利回り
351	＋α	不動産投資 月5万	N/A	10	体験記事	Know（必要な資金を知りたい）	体験談	必要資金	◎		必要資金	不動産投資の初期費用・必要資金｜予算別の投資プラン	収支・利回り
352	＋α	不動産投資 月10万	N/A	20	体験記事	Know（必要な資金を知りたい）	体験談	必要資金	◎		必要資金	不動産投資の初期費用・必要資金｜予算別の投資プラン	収支・利回り
353	＋α	不動産投資 ツール	26	10	解説記事	Do（計算したい → ooya.techへ誘導）	ツール紹介	計算→ooya.tech誘導	◎		ツール紹介	不動産投資シミュレーションツール｜無料で使える計算ツール	ツール紹介
354	＋α	不動産投資 月極駐車場	N/A	0	削除			検索なし	◎				
355	＋α	不動産投資 つくば	40	20	解説記事	Know（不動産投資について知りたい）	解説記事	基礎解説			基礎解説		基礎解説
356	＋α	不動産投資 月々 マイナス	36	20	解説記事	Know（不動産投資について知りたい）	解説記事	基礎解説	◎		基礎解説		基礎解説
357	＋α	不動産投資 月100万	N/A	10	体験記事	Know（必要な資金を知りたい）	体験談	必要資金	◎		必要資金	不動産投資の初期費用・必要資金｜予算別の投資プラン	収支・利回り
358	＋α	不動産投資 手残り 目安	29	30	解説記事	Know（利回り・収支の実態を知りたい）	実践ガイド	利回り・収支	◎		利回り基礎	不動産投資の利回りとは？計算方法と目安を解説	収支・利回り
359	＋α	不動産投資 転職	41	40	解説記事	Know（不動産投資について知りたい）	解説記事	基礎解説			基礎解説		基礎解説
360	＋α	不動産投資 手出し	37	30	解説記事	Know（不動産投資について知りたい）	解説記事	基礎解説	◎		基礎解説		基礎解説
361	＋α	不動産投資 手付金	N/A	20	解説記事	Know（不動産投資について知りたい）	解説記事	基礎解説	◎		基礎解説		基礎解説
362	＋α	不動産投資 手数料	N/A	20	解説記事	Know（不動産投資について知りたい）	解説記事	基礎解説	◎		基礎解説		基礎解説
363	＋α	不動産投資 低額	N/A	20	解説記事	Know（不動産投資について知りたい）	解説記事	基礎解説	◎		基礎解説		基礎解説
364	＋α	不動産投資 手付金 相場	43	10	解説記事	Know（相場・目安を知りたい）	実践ガイド	相場・目安			必要資金	不動産投資の初期費用・必要資金｜予算別の投資プラン	収支・利回り
365	＋α	不動産投資 低リスク	28	10	体験記事	Know（リスク・注意点を知りたい）	体験談	リスク・注意点	◎		リスク対策	不動産投資のリスク一覧と対策｜実体験から学ぶヘッジ策	失敗談・リアルな話
366	＋α	不動産投資 店舗	29	20	解説記事	Know（不動産投資について知りたい）	解説記事	基礎解説	◎		基礎解説		基礎解説
367	＋α	不動産投資 テレアポ	35	20	解説記事	Know（不動産投資について知りたい）	解説記事	基礎解説	◎		基礎解説		基礎解説
368	＋α	不動産投資 とは	28	2900	解説記事	Know（基礎知識を知りたい）	解説記事	基礎解説	◎		基礎解説		基礎解説
369	＋α	不動産投資 東京	25	590	削除			地域KW	◎				
370	＋α	不動産投資 投資信託	N/A	70	削除			REIT・CF（対象外）	◎				
371	＋α	不動産投資 土地だけ	41	70	解説記事	Know（不動産投資について知りたい）	解説記事	基礎解説			基礎解説		基礎解説
372	＋α	不動産投資 投資信託 どっち	28	50	削除			REIT・CF（対象外）	◎				
373	＋α	不動産投資 途中で売却	42	30	体験記事	Know（売却・出口戦略のリアルを知りたい）	体験談	売却・出口			売却・出口戦略	不動産投資の出口戦略｜売却タイミングの判断基準	大家の実務
374	＋α	不動産投資 トラスト	N/A	90	解説記事	Know（不動産投資について知りたい）	解説記事	基礎解説	◎		基礎解説		基礎解説
375	＋α	不動産投資 東京 ワンルーム	26	20	削除			地域KW	◎				
376	＋α	不動産投資 トラブル	27	70	体験記事	Know（リスク・注意点を知りたい）	体験談	リスク・注意点	◎		リスク対策	不動産投資のリスク一覧と対策｜実体験から学ぶヘッジ策	失敗談・リアルな話
377	＋α	不動産投資 土地	40	20	解説記事	Know（不動産投資について知りたい）	解説記事	基礎解説			基礎解説		基礎解説
378	＋α	不動産投資 なんj	34	170	解説記事	Know（不動産投資について知りたい）	解説記事	基礎解説	◎		基礎解説		基礎解説
379	＋α	不動産投資 名古屋	35	260	削除			地域KW	◎				
380	＋α	不動産投資 何年で回収	29	50	解説記事	Know（時期・期間を知りたい）	実践ガイド	時期・タイミング	◎		投資期間	不動産投資の回収期間｜何年で元が取れる？	始め方ガイド
381	＋α	不動産投資 何から始める	43	50	体験記事	Know（不動産投資の始め方を知りたい）	体験談	始め方・初心者向け			初心者向け	不動産投資初心者が知っておくべきこと｜入門ガイド	始め方ガイド
382	＋α	不動産投資 何歳から	N/A	40	解説記事	Know（不動産投資について知りたい）	解説記事	基礎解説	◎		基礎解説		基礎解説
383	＋α	不動産投資 何円から	N/A	40	解説記事	Know（不動産投資について知りたい）	解説記事	基礎解説	◎		基礎解説		基礎解説
384	＋α	不動産投資 なぜ節税	30	20	解説記事	Know（節税・税金の実務を知りたい）	実践ガイド	節税・税金	◎		節税基礎	不動産投資の節税・税金の基礎知識まとめ	税金・節税
385	＋α	不動産投資 流れ	30	50	解説記事	Do（手続き・流れを知りたい）	実践ガイド	手順・流れ	◎		始め方ガイド	不動産投資の始め方｜初心者が最初にやるべき5ステップ	始め方ガイド
386	＋α	不動産投資 奈良	25	40	解説記事	Know（不動産投資について知りたい）	解説記事	基礎解説	◎		基礎解説		基礎解説
387	＋α	不動産投資 難易度	N/A	10	解説記事	Know（不動産投資について知りたい）	解説記事	基礎解説	◎		基礎解説		基礎解説
388	＋α	不動産投資 nisa	N/A	50	解説記事	Know（他の投資と比較したい）	比較記事	投資比較	◎		投資比較	不動産投資vs株式投資・NISA｜どっちが良い？比較検証	始め方ガイド
389	＋α	不動産投資 ニュース	43	210	解説記事	Know（不動産投資について知りたい）	解説記事	基礎解説			基礎解説		基礎解説
390	＋α	不動産投資 日本政策金融公庫	37	170	解説記事	Know（不動産投資について知りたい）	解説記事	基礎解説	◎		おすすめ本	不動産投資のおすすめ本ランキング｜初心者必読の10冊	勉強・情報収集
391	＋α	不動産投資 入門	33	50	体験記事	Know（不動産投資の始め方を知りたい）	体験談	始め方・初心者向け	◎		初心者向け	不動産投資初心者が知っておくべきこと｜入門ガイド	始め方ガイド
392	＋α	不動産投資 人気	N/A	20	解説記事	Buy（サービスを選びたい）	比較記事	おすすめ・比較	◎		おすすめ会社	不動産投資会社おすすめランキング｜比較と選び方	勉強・情報収集
393	＋α	不動産投資 ニーサ	N/A	10	解説記事	Know（不動産投資について知りたい）	解説記事	基礎解説	◎		基礎解説		基礎解説
394	＋α	不動産投資 新潟	N/A	50	削除			地域KW	◎				
395	＋α	不動産投資 入門書	48	10	体験記事	Know（不動産投資の始め方を知りたい）	体験談	始め方・初心者向け			初心者向け	不動産投資初心者が知っておくべきこと｜入門ガイド	始め方ガイド
396	＋α	不動産投資 日本	29	90	解説記事	Know（不動産投資の勉強方法を知りたい）	まとめ記事	勉強・書籍	◎		おすすめ本	不動産投資のおすすめ本ランキング｜初心者必読の10冊	勉強・情報収集
397	＋α	ヌサンタラ 不動産投資	N/A	0	削除			検索なし	◎				
398	＋α	沼津 不動産投資	22	10	解説記事	Know（不動産投資について知りたい）	解説記事	基礎解説	◎		基礎解説		基礎解説
399	＋α	不動産投資 年末調整	25	70	解説記事	Know（不動産投資について知りたい）	解説記事	基礎解説	◎		基礎解説		基礎解説
400	＋α	不動産投資 年収	32	170	体験記事	Know（自分の属性で投資できるか知りたい）	体験談	属性・年収別	◎		年収別ガイド	不動産投資は年収いくらから？属性別の戦略	属性別の始め方
401	＋α	不動産投資 年利	N/A	40	解説記事	Know（不動産投資について知りたい）	解説記事	基礎解説	◎		基礎解説		基礎解説
402	＋α	不動産投資 年収300万	30	90	体験記事	Know（自分の属性で投資できるか知りたい）	体験談	属性・年収別	◎		年収別ガイド	不動産投資は年収いくらから？属性別の戦略	属性別の始め方
403	＋α	不動産投資 年収400万	25	70	体験記事	Know（自分の属性で投資できるか知りたい）	体験談	属性・年収別	◎		年収別ガイド	不動産投資は年収いくらから？属性別の戦略	属性別の始め方
404	＋α	不動産投資 ネクスト	50	20	解説記事	Know（不動産投資について知りたい）	解説記事	基礎解説			基礎解説		基礎解説
405	＋α	不動産投資 年収いくらから	29	110	体験記事	Know（自分の属性で投資できるか知りたい）	体験談	属性・年収別	◎	要確認	年収別ガイド	不動産投資は年収いくらから？属性別の戦略	属性別の始め方
406	＋α	不動産投資 年収1000万	46	70	体験記事	Know（自分の属性で投資できるか知りたい）	体験談	属性・年収別			年収別ガイド	不動産投資は年収いくらから？属性別の戦略	属性別の始め方
407	＋α	不動産投資 年収の何倍	49	0	削除			検索なし					
408	＋α	不動産投資 年末調整 確定申告	N/A	10	解説記事	Know（節税・税金の実務を知りたい）	実践ガイド	節税・税金	◎		確定申告	不動産投資の確定申告やり方ガイド｜初年度の体験談	税金・節税
409	＋α	不動産投資 note	36	40	解説記事	Know（不動産投資について知りたい）	解説記事	基礎解説	◎		基礎解説		基礎解説
410	＋α	不動産投資 ノンバンク	40	40	解説記事	Know（不動産投資について知りたい）	解説記事	基礎解説			基礎解説		基礎解説
411	＋α	不動産投資 noi	N/A	40	解説記事	Know（不動産投資について知りたい）	解説記事	基礎解説	◎		基礎解説		基礎解説
412	＋α	不動産投資 noi利回り	N/A	10	解説記事	Know（利回り・収支の実態を知りたい）	実践ガイド	利回り・収支	◎		利回り基礎	不動産投資の利回りとは？計算方法と目安を解説	収支・利回り
413	＋α	不動産投資 ノウハウ	N/A	10	解説記事	Know（不動産投資について知りたい）	解説記事	基礎解説	◎		基礎解説		基礎解説
414	＋α	不動産投資 ノート	N/A	0	削除			検索なし	◎				
415	＋α	不動産投資 野村	N/A	10	解説記事	Know（不動産投資について知りたい）	解説記事	基礎解説	◎		基礎解説		基礎解説
416	＋α	不動産投資 野村證券	N/A	0	削除			検索なし	◎				
417	＋α	不動産投資 納税証明書	N/A	10	解説記事	Know（不動産投資について知りたい）	解説記事	基礎解説	◎		基礎解説		基礎解説
418	＋α	不動産投資 ノンバンク ランキング	33	0	削除			検索なし	◎				
419	＋α	不動産投資 始め方	31	720	体験記事	Know（不動産投資の始め方を知りたい）	体験談	始め方・初心者向け	◎		始め方ガイド	不動産投資の始め方｜初心者が最初にやるべき5ステップ	始め方ガイド
420	＋α	不動産投資 破産率	31	70	解説記事	Know（具体的な数値を知りたい）	実践ガイド	具体例・数値	◎		返済比率	不動産投資の返済比率・数値目安｜理想は何%？	収支・利回り
421	＋α	不動産投資 初めての物件	32	50	体験記事	Know（物件選びの実体験を知りたい）	体験談	物件選び	◎		物件選び基礎	不動産投資の物件探し｜優良物件を見つける方法	物件選び
422	＋α	不動産投資 破産	38	50	解説記事	Know（不動産投資について知りたい）	解説記事	基礎解説	◎		基礎解説		基礎解説
423	＋α	不動産投資 始め方 初心者	33	20	体験記事	Know（不動産投資の始め方を知りたい）	体験談	始め方・初心者向け	◎		始め方ガイド	不動産投資の始め方｜初心者が最初にやるべき5ステップ	始め方ガイド
424	＋α	不動産投資 はじめ方	N/A	720	解説記事	Know（不動産投資について知りたい）	解説記事	基礎解説	◎		基礎解説		基礎解説
425	＋α	不動産投資 配当	N/A	10	解説記事	Know（不動産投資について知りたい）	解説記事	基礎解説	◎		基礎解説		基礎解説
426	＋α	不動産投資 破綻	N/A	10	解説記事	Know（不動産投資について知りたい）	解説記事	基礎解説	◎		基礎解説		基礎解説
427	＋α	不動産投資 浜松	N/A	30	削除			地域KW	◎				
428	＋α	不動産投資 始めるタイミング	N/A	10	体験記事	Know（不動産投資の始め方を知りたい）	体験談	始め方・初心者向け	◎		初心者向け	不動産投資初心者が知っておくべきこと｜入門ガイド	始め方ガイド
429	＋α	不動産投資 表面利回り 目安	46	50	解説記事	Know（利回り・収支の実態を知りたい）	実践ガイド	利回り・収支			利回り相場	不動産投資の利回り目安｜理想と現実のギャップ	収支・利回り
430	＋α	不動産投資 表面利回り	N/A	70	解説記事	Know（利回り・収支の実態を知りたい）	実践ガイド	利回り・収支	◎		利回り基礎	不動産投資の利回りとは？計算方法と目安を解説	収支・利回り
431	＋α	不動産投資 広島	27	140	削除			地域KW	◎				
432	＋α	不動産投資 比較	31	170	解説記事	Know（他の投資と比較したい）	比較記事	投資比較	◎		投資比較	不動産投資vs株式投資・NISA｜どっちが良い？比較検証	始め方ガイド
433	＋α	不動産投資 費用	N/A	50	体験記事	Know（必要な資金を知りたい）	体験談	必要資金	◎		必要資金	不動産投資の初期費用・必要資金｜予算別の投資プラン	収支・利回り
434	＋α	不動産投資 必要資金	N/A	30	体験記事	Know（必要な資金を知りたい）	体験談	必要資金	◎		必要資金	不動産投資の初期費用・必要資金｜予算別の投資プラン	収支・利回り
435	＋α	不動産投資 一部屋だけ	N/A	20	解説記事	Know（不動産投資について知りたい）	解説記事	基礎解説	◎		基礎解説		基礎解説
436	＋α	不動産投資 費用 一覧	48	20	体験記事	Know（必要な資金を知りたい）	体験談	必要資金		要確認	必要資金	不動産投資の初期費用・必要資金｜予算別の投資プラン	収支・利回り
437	＋α	不動産投資 副業	27	390	体験記事	Know（自分の属性で投資できるか知りたい）	体験談	属性・年収別	◎		サラリーマン向け	サラリーマン・公務員の不動産投資体験｜副業としての始め方	属性別の始め方
438	＋α	不動産投資 福岡	36	480	削除			地域KW	◎				
439	＋α	不動産投資 ふるさと納税	29	140	解説記事	Know（不動産投資について知りたい）	解説記事	基礎解説	◎		基礎解説		基礎解説
440	＋α	不動産投資 フルローン	32	210	体験記事	Know（ローン・融資のリアルを知りたい）	体験談	ローン・融資体験	◎		ローン頭金	不動産投資の頭金はいくら必要？フルローンは可能？	融資・ローン体験
441	＋α	不動産投資 フルローン 銀行	33	70	体験記事	Know（ローン・融資のリアルを知りたい）	体験談	ローン・融資体験	◎		ローン基礎	不動産投資ローンとは？仕組み・おすすめ銀行・選び方	融資・ローン体験
442	＋α	不動産投資 副業になるのか	N/A	30	体験記事	Know（自分の属性で投資できるか知りたい）	体験談	属性・年収別	◎		サラリーマン向け	サラリーマン・公務員の不動産投資体験｜副業としての始め方	属性別の始め方
443	＋α	不動産投資 fire	28	140	解説記事	Know（不動産投資について知りたい）	解説記事	基礎解説	◎		基礎解説		基礎解説
444	＋α	不動産投資 ファンド	33	260	削除			特定企業	◎				
445	＋α	不動産投資 ふるさと納税 限度額	31	20	解説記事	Know（不動産投資について知りたい）	解説記事	基礎解説	◎		基礎解説		基礎解説
446	＋α	不動産投資 不労所得	32	50	解説記事	Know（不動産投資について知りたい）	解説記事	基礎解説	◎		基礎解説		基礎解説
447	＋α	不動産投資 平均利回り	29	170	解説記事	Know（利回り・収支の実態を知りたい）	実践ガイド	利回り・収支	◎		利回り相場	不動産投資の利回り目安｜理想と現実のギャップ	収支・利回り
448	＋α	不動産投資 返済比率	29	140	解説記事	Know（具体的な数値を知りたい）	実践ガイド	具体例・数値	◎		返済比率	不動産投資の返済比率の目安｜理想は何%？	収支・利回り
449	＋α	不動産投資 返済シミュレーション	33	30	解説記事	Do（計算したい → ooya.techへ誘導）	ツール紹介	計算→ooya.tech誘導	◎		ツール紹介	不動産投資シミュレーションツール｜無料で使える計算ツール	ツール紹介
450	＋α	不動産投資 変動金利	33	30	体験記事	Know（ローン・融資のリアルを知りたい）	体験談	ローン・融資体験	◎		ローン金利比較	不動産投資ローン金利比較ランキング｜低金利で借りるコツ	融資・ローン体験
451	＋α	不動産投資 返済期間	31	10	解説記事	Know（不動産投資について知りたい）	解説記事	基礎解説	◎		基礎解説		基礎解説
452	＋α	不動産投資 返済比率70	25	20	解説記事	Know（具体的な数値を知りたい）	実践ガイド	具体例・数値	◎		返済比率	不動産投資の返済比率の目安｜理想は何%？	収支・利回り
453	＋α	不動産投資 返済 経費	N/A	0	削除			検索なし	◎				
454	＋α	不動産投資 平均	N/A	10	解説記事	Know（相場・目安を知りたい）	実践ガイド	相場・目安	◎		必要資金	不動産投資の初期費用・必要資金｜予算別の投資プラン	収支・利回り
455	＋α	不動産投資 返済比率60	27	30	解説記事	Know（具体的な数値を知りたい）	実践ガイド	具体例・数値	◎		返済比率	不動産投資の返済比率の目安｜理想は何%？	収支・利回り
456	＋α	不動産投資 返済比率 計算	44	10	解説記事	Do（計算したい → ooya.techへ誘導）	ツール紹介	計算→ooya.tech誘導			返済比率	不動産投資の返済比率の目安｜理想は何%？	収支・利回り
457	＋α	不動産投資 法人化	33	260	解説記事	Know（節税・税金の実務を知りたい）	実践ガイド	節税・税金	◎		法人化	不動産投資の法人化タイミング｜個人vs法人の判断基準	税金・節税
458	＋α	不動産投資 法人	33	260	解説記事	Know（節税・税金の実務を知りたい）	実践ガイド	節税・税金	◎		法人化	不動産投資の法人化タイミング｜個人vs法人の判断基準	税金・節税
459	＋α	不動産投資 方法	N/A	70	解説記事	Do（手続き・流れを知りたい）	実践ガイド	手順・流れ	◎		始め方ガイド	不動産投資の始め方｜初心者が最初にやるべき5ステップ	始め方ガイド
460	＋α	不動産投資 保険	27	70	解説記事	Know（不動産投資について知りたい）	解説記事	基礎解説	◎		基礎解説		基礎解説
461	＋α	不動産投資 北海道	22	210	削除			地域KW	◎				
462	＋α	不動産投資 補助金	N/A	30	解説記事	Know（不動産投資について知りたい）	解説記事	基礎解説	◎		基礎解説		基礎解説
463	＋α	不動産投資 マンション	30	480	体験記事	Know（物件選びの実体験を知りたい）	体験談	物件選び	◎		マンション投資	マンション・ワンルーム投資のリアル｜メリットと注意点	物件選び
