URL	title	h1	description
/	大家DX - 賃貸経営シミュレーション	賃貸経営を、もっとスマートに	AI搭載の包括的賃貸経営プラットフォーム。収益シミュレーション、市場分析、経営判断をサポートします。
/tools	不動産投資 計算ツール一覧｜利回り・税金・ローン【無料】 | 大家DX	不動産投資 計算ツール一覧	利回り・キャッシュフロー・IRRなどの収益分析から、仲介手数料・譲渡所得税・印紙税などの税金計算まで。賃貸経営に必要な計算ツールを全て無料で提供。2026年度最新税制対応。
/tools/simulator	賃貸経営シミュレーター | 大家DX	賃貸経営のためのシミュレーション	賃貸経営の収益性をシミュレーション。IRR、CCR、DSCR、35年キャッシュフローを一括計算。完全無料で利用可能。
/tools/yield-rate	表面利回り・実質利回り 計算シミュレーション｜早見表付き	不動産の表面利回り・実質利回り 計算シミュレーション｜早見表付き	賃貸経営の表面利回り・実質利回りを10秒で無料計算。物件価格と年間賃料を入力するだけで、グロス利回り・ネット利回りがすぐわかります。
/tools/roi	賃貸経営のROI（投資利益率） 計算シミュレーション｜CCR・FCR同時計算	賃貸経営のROI（投資利益率） 計算シミュレーション	賃貸経営のROI（投資利益率）を無料で計算。キャッシュフローROI、CCR、FCRを同時に算出。
/tools/irr	賃貸経営のIRR（内部収益率） 計算シミュレーション｜早見表付き	不動産のIRR（内部収益率） 計算シミュレーション	賃貸経営のIRR（内部収益率）を無料で計算。物件購入から売却までの収益性を時間価値を考慮して評価。
/tools/npv	賃貸経営のNPV（正味現在価値） 計算シミュレーション｜感度分析付き	賃貸経営のNPV（正味現在価値） 計算シミュレーション	賃貸経営のNPV（正味現在価値）を無料で計算。DCF法に基づき、将来キャッシュフローの現在価値を算出。
/tools/noi	賃貸経営のNOI（営業純収益） 計算シミュレーション｜経費率目安付き | OOYA.tech	不動産のNOI（営業純収益） 計算シミュレーション	NOI（Net Operating Income・営業純収益）を計算できる無料シミュレーター。GPI・EGI・OPEXの詳細内訳を表示し、キャッシュフローツリーで収益構造を可視化。物件タイプ別の経費率目安も掲載。
/tools/cf	賃貸経営のキャッシュフロー 計算シミュレーション｜BTCF・収支可視化	賃貸経営のキャッシュフロー 計算シミュレーション	賃貸経営のキャッシュフロー（CF）を無料で計算。キャッシュフローツリーで収支を可視化。
/tools/ccr	賃貸経営のCCR（自己資金配当率） 計算シミュレーション｜早見表付き | OOYA.tech	不動産のCCR（自己資金配当率） 計算シミュレーション	CCR（Cash on Cash Return・自己資金配当率）を計算できる無料シミュレーター。自己資金に対する年間キャッシュフローの収益率を算出し、レバレッジ効果も判定。物件購入の収益効率を分析できます。
/tools/dscr	DSCR（債務返済カバー率） 計算シミュレーション｜融資審査の目安がわかる	不動産のDSCR（債務返済カバー率） 計算シミュレーション	DSCR（債務返済カバー率）を無料で計算。年間賃料収入と借入条件を入力するだけで、金融機関の融資審査における返済能力の目安がわかります。
/tools/cap-rate	不動産のキャップレート（還元利回り）計算シミュレーション｜地域別相場付き	キャップレート（還元利回り） 計算シミュレーション	不動産のキャップレート（還元利回り）を無料で計算。NOIと物件価格から利回りを算出。
/tools/income-capitalization	収益還元法（直接還元法） 計算シミュレーション	収益還元法（直接還元法） 計算シミュレーション	収益還元法（直接還元法）による不動産の収益価格を無料で計算。年間賃料収入とキャップレートを入力するだけで、収益不動産の理論価格を算出できます。
/tools/dcf	DCF法 計算シミュレーション	不動産のDCF法（割引キャッシュフロー法） 計算シミュレーション	DCF法（割引キャッシュフロー法）で不動産の収益価格を無料で概算計算。早見表付き。
/tools/assessed-value	不動産の積算評価 計算シミュレーション｜土地・建物の担保価値を算出	不動産の積算評価 計算シミュレーション｜土地・建物の担保価値を算出	賃貸経営における積算評価（原価法）を無料で計算。路線価・建物構造・築年数から土地・建物の積算価格を算出。
/tools/replacement-cost	建物の再調達価格 計算シミュレーション｜構造・用途別の積算評価	建物の再調達価格 計算シミュレーション｜構造・用途別の積算評価	建物の再調達価格（再調達原価）を計算。延床面積・構造・用途・築年数を入力するだけで、新築時の建築費用と現在の建物価値を算出します。
/tools/mortgage-loan	住宅ローン 計算シミュレーション｜毎月返済額・総返済額	住宅ローン 計算シミュレーション｜毎月返済額・総返済額	住宅ローンの毎月返済額・総返済額を無料で計算。借入額と金利を入力するだけで瞬時に計算。早見表付き。
/tools/ltv	賃貸経営のLTV（借入比率） 計算シミュレーション｜自己資金比率も同時計算	賃貸経営のLTV（借入比率） 計算シミュレーション	賃貸経営のLTV（借入比率）を無料で計算。自己資金比率、自己資金額も同時に確認できます。
/tools/borrowing-capacity	（未公開）	（未公開）	（未公開）
/tools/prepayment	（未公開）	（未公開）	（未公開）
/tools/acquisition-tax	不動産取得税 計算シミュレーション｜軽減措置対応	不動産取得税 計算シミュレーション｜軽減措置対応	不動産取得税を無料で概算計算。建物・土地の固定資産税評価額を入力するだけで税額の目安がわかります。
/tools/registration-tax	不動産の登録免許税 計算シミュレーション｜軽減税率対応	不動産の登録免許税 計算シミュレーション｜軽減税率対応	不動産購入時の登録免許税を無料で計算。土地・建物の移転登記、新築の保存登記、抵当権設定登記に対応。軽減税率（長期優良住宅・低炭素住宅）も自動判定します。
/tools/stamp-tax	不動産契約の印紙税 計算シミュレーション｜軽減措置・電子契約対応	不動産契約の印紙税 計算シミュレーション｜軽減措置・電子契約対応	不動産売買契約書・建設工事請負契約書・領収書の印紙税を無料で概算計算。契約金額を入力するだけで税額がわかります。
/tools/depreciation	不動産の減価償却費 計算シミュレーション｜早見表・中古建物対応	不動産の減価償却費 計算シミュレーション｜早見表・中古建物対応	賃貸経営の減価償却費を無料で計算。建物の取得価額・構造・築年数を入力するだけで年間償却費がすぐわかります。
/tools/corporate-tax	不動産法人の法人税等 計算シミュレーション｜早見表付き	不動産法人の法人税等 計算シミュレーション｜早見表付き	不動産法人の法人税・住民税・事業税等を無料で計算。課税所得を入力するだけで税額と実効税率がすぐわかります。
/tools/gift-tax	不動産の贈与税 計算シミュレーション｜早見表・特例対応	不動産の贈与税 計算シミュレーション｜早見表・特例対応	不動産を贈与した際の贈与税を無料で概算計算。贈与金額を入力するだけで税額の目安がわかります。
/tools/inheritance-tax	相続税 計算シミュレーション｜早見表・基礎控除対応	相続税 計算シミュレーション｜早見表・基礎控除対応	相続税を無料で概算計算。遺産総額と相続人の人数を入力するだけで税額の目安がわかります。
/tools/property-tax	（未公開）	（未公開）	（未公開）
/tools/brokerage	仲介手数料の計算シミュレーション【2026最新】800万特例対応	仲介手数料の計算シミュレーション【2026最新】800万特例対応	不動産売買の仲介手数料を無料で計算。2024年法改正の800万円特例に対応した2026年最新版。売買価格を入力するだけで税込金額を自動計算。速算式・早見表付き。
/tools/capital-gains-tax	不動産の譲渡所得税 計算シミュレーション｜3000万円控除対応	不動産の譲渡所得税 計算シミュレーション｜3000万円控除対応	不動産売却時の譲渡所得税を無料で概算計算。売却価格と取得費を入力するだけで税額の目安がわかります。
/tools/sale-proceeds	不動産の売却時手取り 計算シミュレーション｜税引き後キャッシュを算出	不動産の売却時手取り 計算シミュレーション｜税引き後キャッシュを算出	不動産売却時の最終手取り額を自動計算。仲介手数料、譲渡所得税、ローン残高を考慮した実際の手取り額がわかります。
/tools/dead-cross	不動産のデッドクロス発生時期 予測シミュレーション｜元本返済と減価償却の比較	不動産のデッドクロス発生時期 予測シミュレーション	デッドクロスの発生時期を無料で予測。建物構造・築年数・ローン条件を入力するだけで、黒字倒産リスクを事前に把握できます。
/tools/renovation-cost	（未公開）	（未公開）	（未公開）
/tools/renovation-loan	（未公開）	（未公開）	（未公開）
/tools/brokerage/guide	仲介手数料とは？計算方法・2024年法改正・支払いの仕組みを解説	仲介手数料とは？計算方法・2024年法改正・支払いの仕組みを解説	不動産売買の仲介手数料を徹底解説。計算方法、法改正、支払いタイミングなど。
/tools/brokerage/standard	（未設定 - root: 大家DX）	仲介手数料計算（速算式）	（未設定）
/tools/purchase-offer	買付申込書ジェネレーター｜無料で作成・PDF出力	買付申込書ジェネレーター	（未設定）
/mypage	マイページ | 大家DX	マイページ	不動産投資シミュレーションツールのダッシュボード
/mypage/guide	マイページ - 大家DX（layout fallback）	ご利用ガイド・よくある質問	（未設定）
/mypage/calculators	各種計算ツール - 大家DX	各種計算ツール	不動産投資に必要な各種計算ツールを無料でご利用いただけます。仲介手数料、不動産取得税、登録免許税など。
/mypage/billing	プラン・課金管理 - 大家DX	（なし）	大家DXの料金プランとサブスクリプション管理
/mypage/purchase-offer	マイページ - 大家DX（layout fallback）	買付申込書ジェネレーター	（未設定）
/mypage/cf-simulator	CFシミュレーション | 大家DX	CFシミュレーション	賃貸物件のキャッシュフローを簡単にシミュレーション。保存した結果を一覧で管理できます。
/mypage/cf-simulator/new	新規CFシミュレーション | 大家DX	新規CFシミュレーション	賃貸物件のキャッシュフローをシミュレーション。年次キャッシュフロー詳細、IRR、CCR、DSCRなどの指標を計算します。
/mypage/cf-simulator/[id]	CFシミュレーション結果 | 大家DX	CFシミュレーション結果（動的）	保存したCFシミュレーションの結果を確認・編集できます。
/mypage/revenue-simulator	収益シミュレーション | 大家DX	収益シミュレーション	賃貸物件の収益性をシミュレーション。IRR、CCR、DSCRなどの指標を計算します。
/dashboard	ダッシュボード - 大家DX	マイページ	大家DXのダッシュボード
/billing	プラン・課金管理 - 大家DX	（リダイレクト→/mypage/billing）	大家DXの料金プランとサブスクリプション管理
/contact	お問い合わせ | 大家DX	大家DXについてのお問い合わせ	大家DXに関するご質問、ご要望、その他お問い合わせはこちらから。
/auth/signin	ログイン・登録 - Sample	（なし - h2: ログイン）	Sampleサービスへのログイン・新規登録
/auth/signup	ログイン・登録 - Sample	（なし - h2: 新規会員登録）	Sampleサービスへのログイン・新規登録
/auth/forgot-password	ログイン・登録 - Sample	パスワードをリセット	Sampleサービスへのログイン・新規登録
/auth/email-verified	ログイン・登録 - Sample	メール認証	Sampleサービスへのログイン・新規登録
/auth/neon-password-reset	ログイン・登録 - Sample	パスワードをリセット	Sampleサービスへのログイン・新規登録
/pricing	有料プランについて | 大家DX	有料プランについて	大家DXの有料プランに関するお知らせ。現在、すべての機能を完全無料・無制限でご提供しております。
/faq	よくある質問 | 大家DX	よくある質問	大家DXに関するよくある質問と回答をまとめました。
/legal/terms	利用規約 | 大家DX	利用規約	大家DXサービスの利用規約について
/legal/privacy	プライバシーポリシー | 大家DX	プライバシーポリシー	大家DXサービスのプライバシーポリシーについて
/disclaimer	免責事項 | 大家DX	免責事項	大家DXサービスの免責事項について。本サービスは不動産賃貸経営の参考目的のシミュレーションツールです。
/media	大家DXジャーナル｜賃貸経営の実践ノウハウ	（なし）	賃貸経営の基礎知識から実践的なノウハウまで。データドリブンな賃貸経営を支援する情報メディア。
/media/profile	自己紹介と不動産購入実績｜大家DXジャーナル	自己紹介と不動産購入実績	大家DX運営者のプロフィールと不動産購入実績。2025年9月時点で7戸購入、1戸売却、現在6戸保有。
/media/base/end-user-real-estate	実需とは不動産の何を指す？初心者にもわかる"実需"と"投資用"の違いと考え方｜大家DXジャーナル	実需とは不動産の何を指す？初心者にもわかる"実需"と"投資用"の違いと考え方	「実需って何？」から始めよう。不動産業界では"これは実需物件ですね"という言葉が飛び交いますが、初心者にとっては戸惑うことも多いでしょう。
/media/base/bad-2ch	「不動産投資 やめとけ」は本当？2chの声と現実のギャップを検証｜大家DXジャーナル	「不動産投資 やめとけ」は本当？2chの声と現実のギャップを検証	不動産投資について検索すると目立つ「やめとけ」という声。掲示板で見られるネガティブな投稿の真偽を検証し、本当に回避すべきなのかを冷静に考察します。
/media/base/accounting-software	アパート経営におすすめの会計ソフト7選｜無料で使えるものも紹介｜大家DXジャーナル	アパート経営におすすめの会計ソフト7選｜無料で使えるものも紹介	「帳簿がめんどくさい…」という悩みを解決するために、アパート経営に適した会計ソフト7つを厳選して比較。無料で利用できるツールや選び方のポイントも含めて解説します。
/media/base/estimate-simulation	アパート経営の見積もりシミュレーションのやり方｜初期費用から収益まで解説｜大家DXジャーナル	アパート経営の見積もりシミュレーションのやり方｜初期費用から収益まで解説	アパート経営を始める際の重要なポイントは事前のシミュレーション（収支計算）です。初期費用、月の手取り、回収年数といった疑問を数字で見える化することで、投資判断の精度が高まります。
/media/base/neteitou_yabai	根抵当権は「やばい」のか？実際のデメリットや抹消の注意点を徹底解説｜大家DXジャーナル	根抵当権は「やばい」のか？実際のデメリットや抹消の注意点を徹底解説	多くの人が「根抵当権 やばい」と検索するのは、根抵当権が設定された不動産を所有または購入検討しているからです。根抵当権のデメリットや抹消の注意点を徹底解説します。
/media/base/excel-template	不動産投資 エクセル テンプレートで効率化する！不動産の賃貸経営者向けテンプレート集｜大家DXジャーナル	不動産投資 エクセル テンプレートで効率化する！不動産の賃貸経営者向けテンプレート集	不動産投資を始めると、家賃、経費、返済、利回りなど、数字の管理がどんどん増えていきます。初心者大家さん向けに、不動産投資で役立つエクセルテンプレートを目的別に紹介します。
/media/base/failure-2ch	【注意喚起】不動産投資 失敗 2chは本当？ネットの声に学ぶリスクと回避策｜大家DXジャーナル	【注意喚起】不動産投資 失敗 2chは本当？ネットの声に学ぶリスクと回避策	「失敗したくない…」という不安から、多くの初心者が「不動産投資 失敗 2ch」と検索します。掲示板の失敗談が「準備不足で防げたケースが多い」と指摘。知識・戦略・準備を整えることで堅実な運用が可能です。
/media/base/profile-sheet-template	【無料配布】不動産投資のプロフィールシート テンプレート｜融資・営業に使える自己紹介資料｜大家DXジャーナル	【無料配布】不動産投資のプロフィールシート テンプレート｜融資・営業に使える自己紹介資料	「信頼できそうな投資家」って、どんな人？金融機関に融資をお願いしたり、不動産会社とやりとりをする場面で、「この人、しっかりしてるな」と思ってもらえるかどうかは、融資の成否や良い物件紹介に直結します。
/media/base/rent-roll-template	【無料ダウンロード】レントロール雛形・テンプレート集｜不動産投資・融資用にも対応｜大家DXジャーナル	【無料ダウンロード】レントロール雛形・テンプレート集｜不動産投資・融資用にも対応	レントロール（賃料明細表）は不動産投資・賃貸経営に必須の資料です。初心者でも使える無料テンプレートを3種類提供。銀行融資提出用や売却査定用など、実務的なフォーマットも含まれています。
/media/base/spreadsheet	不動産投資のスプレッドシート活用術｜初心者にもおすすめの無料テンプレート＆作り方｜大家DXジャーナル	不動産投資のスプレッドシート活用術｜初心者にもおすすめの無料テンプレート＆作り方	紙やノート、Excelでの管理に限界を感じた不動産の賃貸経営者向けに、Googleスプレッドシートを活用した管理方法を解説。クラウド保存、スマホ対応、共有機能などのメリットと、初心者向けテンプレート、自作方法を紹介します。
/media/kodate/zikoshikin	自己資金はいくら必要？ボロ戸建て投資にかかる初期費用の実例｜大家DXジャーナル	自己資金はいくら必要？ボロ戸建て投資にかかる初期費用の実例	「ボロ戸建てって安いって聞くけど、実際いくら用意すれば始められるの？」そんな疑問を持つ初心者投資家の方へ向けて、自己資金の目安や内訳、リアルな実例を紹介します。
/media/kodate/reform	ボロ戸建てのリフォーム費用の相場と内訳｜初心者でも安心な実例付きガイド｜大家DXジャーナル	ボロ戸建てのリフォーム費用の相場と内訳｜初心者でも安心な実例付きガイド	「ボロ戸建てって安く買えるけど…リフォーム費用が怖い」という不安を抱える方向けに、費用の相場感から内訳のチェックポイント、事例まで丁寧に解説します。
/media/kodate/kouko	ボロ戸建て投資で融資は受けられる？公庫・地銀の攻略法｜大家DXジャーナル	ボロ戸建て投資で融資は受けられる？公庫・地銀の攻略法	「ボロ戸建てって現金で買うもの？」という疑問に対し、実は融資を受ける方法が存在することを解説。初心者向けに現実的な金融機関の活用法を紹介します。
/company	会社概要 | 株式会社StartupMarketing	会社概要	株式会社StartupMarketingの会社概要。不動産テック事業「大家DX」の開発・運営、不動産業界向けシステム受託開発を行っています。
/company/portfolio	実績・得意領域 | 株式会社StartupMarketing	実績・経歴	独立5年目のWebディレクター・マーケッター。スタートアップ企業（BtoC）のWebコンサル・マーケティングオートメーション・グロースハック施策を得意領域としています。
/company/service	メニュー・料金 | 株式会社StartupMarketing	メニュー・料金	業界歴14年目のプロのWebコンサルティングが、データ分析を元に事業・経営課題を発見して戦略支援致します。
/company/contact	法人のお問合せ・受託開発・取材など | 株式会社StartupMarketing	法人のお問合せ・受託開発・取材など	お仕事のご相談やご依頼、弊社サービスに関するお問い合わせはこちらから。2〜3営業日以内にご返信いたします。
/company/csr	CSR・健康経営 | 株式会社StartupMarketing	CSR・健康経営	株式会社StartupMarketingのCSR活動・健康経営への取り組み。がん対策推進企業アクション、ポジティブ・オフに参加しています。
/company/sdgs	SDGsの達成に向けた取組み | 株式会社StartupMarketing	SDGsの達成に向けた取組み	株式会社StartupMarketingのSDGsへの取り組み。さいたま市CS・SDGsパートナーズ、関西SDGsプラットフォームに参加しています。
/company/climate-adaptation	気候変動への適応に向けた取り組み | 株式会社StartupMarketing	気候変動への適応に向けた取り組み	株式会社StartupMarketingの気候変動適応への取り組み。リモートワーク推進、ペーパーレス化、マイボトル活用などを通じて、地球沸騰化時代に適応した働き方を実践しています。
/company/plastics-smart	プラスチック削減の取り組み | 株式会社StartupMarketing	プラスチック削減の取り組み	株式会社StartupMarketingのプラスチックごみ削減への取り組み。マイボトル活用による「脱・使い捨て容器」を推進し、環境省プラスチック・スマートキャンペーンに参加しています。
/company/consumer-policy	消費者志向自主宣言ならびに運営ポリシー | 株式会社StartupMarketing	消費者志向自主宣言ならびに運営ポリシー	株式会社StartupMarketingの消費者志向自主宣言ならびに運営ポリシー。住環境における顧客満足度向上を最優先に掲げています。
/company/teambeyond	パラスポーツ、スポーツへの取り組み | 株式会社StartupMarketing	パラスポーツ、スポーツへの取り組み	TEAM BEYONDの「パラスポーツを通じて、みんなが個性を発揮できる未来を目指す」という取り組みに賛同します。
/company/lib-partner	リチウムイオン電池の火災防止啓発 | 株式会社StartupMarketing	リチウムイオン電池の火災防止啓発	株式会社StartupMarketingはリチウムイオン電池の火災防止に取り組んでいます。環境省LiBパートナーとして、適切な使用方法・廃棄方法の周知・啓発を行っています。
/company/link	相互リンクページ | 株式会社StartupMarketing	相互リンクページ	株式会社StartupMarketingの相互リンクページ。提携企業・団体様のリンク集です。